,X.cell.type..primary.human.B.cells,X.cell.type..primary.human.monocytes,X.cell.type..primary.human.myeloid.DC,X.cell.type..primary.human.neutrophils,X.cell.type..primary.human.NK.cells,X.cell.type..primary.human.PBMC,X.cell.type..primary.human.T.cells,max
ENSG00000001626,7.25,75.375,321.375,28.625,12.625,37.5,1.25,321.375
ENSG00000003436,28.625,59.875,159,24.375,189,601.625,108.125,601.625
ENSG00000004468,90462.75,33295.75,22341,15437.75,418443.625,87925.625,37600.375,418443.625
ENSG00000005844,386504.5,1627938.875,4209324.375,918392.375,4513626.625,2087703.5,1416686.625,4513626.625
ENSG00000005884,36237.625,284.5,180.125,103.375,6512.75,17395.5,28903.5,36237.625
ENSG00000005961,615.875,1114.875,1941.375,410.125,6982.125,34118.875,434.625,34118.875
ENSG00000006210,77.625,39.875,34.125,31.625,42.75,80.625,36,80.625
ENSG00000006327,273,4742.75,4453.75,31114.875,2649.625,3295.125,656,31114.875
ENSG00000006451,48487.75,58364.75,66161,8335.5,59305.375,76023.25,79251.125,79251.125
ENSG00000007062,21.125,33.125,278.625,80.75,79796.5,11460,1664.75,79796.5
ENSG00000008710,378021,237071.625,269157.75,4582,484443.75,454943.5,510880.375,510880.375
ENSG00000010278,9328,20295.125,1595.375,10448.625,1900,21413.5,3355,21413.5
ENSG00000010610,418.75,1488990.5,1249862.125,21697.875,30240.75,977472.75,726349.75,1488990.5
ENSG00000010704,19047.125,59996,27732.25,15382.375,4553.125,28530,7852.625,59996
ENSG00000011422,114.5,266215.375,198323.625,382196.125,5911.25,102779.25,1979.25,382196.125
ENSG00000011600,842.375,1513363,1252783.75,1424580.375,573885.375,675540.625,9961.875,1513363
ENSG00000012124,2750241.625,1745.75,39365.25,2386.25,6286.875,160136.75,489.375,2750241.625
ENSG00000012223,21.625,9.5,20.625,6674.75,12.625,144797.5,6.375,144797.5
ENSG00000019582,19851756.875,9764027.625,12911901.875,392903.625,1257230.375,6165240,457620.125,19851756.875
ENSG00000020181,6690.625,125832.875,26981,7312.375,31092.625,55670.5,10308.125,125832.875
ENSG00000023318,134578.625,264895.125,261214,139363.125,137607.5,178146.5,98078.625,264895.125
ENSG00000023839,11266.125,6470,6585,20734.375,10966.25,12133.375,13139.125,20734.375
ENSG00000026103,24622.125,74468,81555.5,326022.625,32696.75,71096.375,62887.875,326022.625
ENSG00000026508,451057.875,2154254.875,1315913.75,221890.5,633546.25,1378138.125,929211,2154254.875
ENSG00000035862,35920.25,890754.5,514318.125,499025.125,25871.875,341214.125,16924.875,890754.5
ENSG00000036828,5,86.25,238.5,134,13.625,115.125,170,238.5
ENSG00000040608,254.375,119.5,141.875,8.125,8645,4177,4952.625,8645
ENSG00000044574,319520.75,715039.625,515384.25,421481.75,992357.75,592153.25,352749.125,992357.75
ENSG00000046604,69.5,30.375,417.25,28.75,201.625,1392.125,880.75,1392.125
ENSG00000047936,2.5,13,2.5,5,14.25,12.5,7.125,14.25
ENSG00000049245,46401.875,307597.75,275582,160306.375,102208.375,169317.625,58288.125,307597.75
ENSG00000049249,34,8374,987.5,36329.375,5943.375,5550.25,2350.25,36329.375
ENSG00000055118,19774.5,76.375,77.125,442.5,151.25,10818.625,16781.875,19774.5
ENSG00000056586,177487.25,148429.5,211665.875,86856.25,217687,194686.125,194037.625,217687
ENSG00000056736,5581.5,3595.625,3847.875,746.125,7288.125,7472.125,6706,7472.125
ENSG00000057019,3162.125,9171.5,5893.5,13537.375,2314.375,7993,7334.5,13537.375
ENSG00000064199,1803,4608.375,3953.625,274,761.875,3032,1625.375,4608.375
ENSG00000064201,62631.875,278700.5,373856.25,42500.875,873361,459288.625,355771.125,873361
ENSG00000064300,378.5,847.875,5028.75,39.375,4990.75,1730.75,361.5,5028.75
ENSG00000064547,42951.25,169442.25,394449.5,989782.375,99605.5,176813.625,128259.125,989782.375
ENSG00000064687,879198.125,457952.5,525227.5,1455900.125,548186.125,757887.75,781380.5,1455900.125
ENSG00000065600,27957.375,41828,43367.75,281.25,27482.25,32789.25,19467.75,43367.75
ENSG00000066230,18709.5,12845.25,5482.75,397.125,24454,29868.375,36209.625,36209.625
ENSG00000066468,39.125,53.5,71.125,445.5,192.5,1613.625,1631.875,1631.875
ENSG00000067182,465.25,561246.75,330802.125,1069796.5,246516.5,301769.375,81821.25,1069796.5
ENSG00000068001,6655.5,36754,33317.375,22273.625,12444,20492.5,5406.625,36754
ENSG00000068078,80,225.125,470.75,11.75,252.125,206.875,246.625,470.75
ENSG00000069122,20.375,12.625,16,12.875,15.5,13.875,0,20.375
ENSG00000069493,652207.375,89081.875,86908.25,40321.75,668344.75,563312.25,781929.5,781929.5
ENSG00000069702,425.375,553.625,2018.375,187.5,651305.875,117704.625,84536,651305.875
ENSG00000070018,3925.875,340.25,542.375,5012.75,28.75,13063.75,29395.375,29395.375
ENSG00000070193,0,12.5,2.5,6.75,7.75,2.5,12.375,12.5
ENSG00000070388,833.5,335.75,325.25,145.875,1325.25,1768.75,2381.125,2381.125
ENSG00000072274,215570,103371.5,239143.625,13588.375,77938.75,135493.875,120242.75,239143.625
ENSG00000072571,3316,342,1556.75,101.5,4041.625,2805.25,2116.625,4041.625
ENSG00000072694,531304.75,77200.625,193327,174147.625,36437.125,84635,1563.75,531304.75
ENSG00000073060,66263.125,99827.75,31937.375,6827.875,6320.625,52103.875,9116,99827.75
ENSG00000073067,462.875,133.25,235.5,37,308.5,485.875,518.75,518.75
ENSG00000073712,156.125,64.875,88.625,76,1519,455.125,467.875,1519
ENSG00000073754,96.625,7.625,1957.875,5.625,0,78.125,15.625,1957.875
ENSG00000073921,142555,965598.125,776816.75,1423019.125,378440.125,518105.75,151318.875,1423019.125
ENSG00000074800,493465.875,1609706.25,1433777.75,137566,787542,1147721.375,680424.125,1609706.25
ENSG00000075461,111.375,108.25,62.5,97.75,592.125,175.25,121.875,592.125
ENSG00000076351,68101,52021.125,128147.75,1511.125,94852.625,90887.25,92629.5,128147.75
ENSG00000076706,1601.875,764.25,805.875,2654.125,1103,1996.625,2592.125,2654.125
ENSG00000076716,2197.875,1529.875,148.5,293,48.375,640.75,23.375,2197.875
ENSG00000077943,448.625,35,43,27.375,54.375,148.75,38.375,448.625
ENSG00000078098,42.125,45.875,21.75,1157.625,29.75,39,12.5,1157.625
ENSG00000078549,10.375,13,15.75,16.875,10.5,14.875,27.625,27.625
ENSG00000078618,304829.375,469445.5,411548.75,784299.125,391738,412693.625,289970.375,784299.125
ENSG00000079215,88.75,7921.875,1726.625,116.375,422,3860.125,25,7921.875
ENSG00000079308,657.875,21802.5,14740.75,81.375,1151.75,13912.5,151.375,21802.5
ENSG00000079385,25973.25,861.625,19413.75,143346.5,831.75,13861.125,11378.25,143346.5
ENSG00000080709,30.75,48.25,35.625,26.375,25.375,46.125,51.875,51.875
ENSG00000080815,120983.875,381426.75,466180.375,290087.625,164419.5,241158.5,96426.125,466180.375
ENSG00000080822,109293.375,120730.25,96073.125,52301.75,295080.75,229821.875,277171.125,295080.75
ENSG00000081237,2085247.875,3977337.875,5893598,5776090.375,4672599.625,4017645.125,3397951.25,5893598
ENSG00000081479,8.5,35.875,14.5,71.5,17,28,70.875,71.5
ENSG00000082482,0,17.375,16.75,2.875,12,8.125,19.5,19.5
ENSG00000082781,513.25,3081.25,9814.625,41.625,3322.75,8318.5,1019.25,9814.625
ENSG00000083457,51052.5,43400.75,23227.625,6110.625,29701.375,40451,27290.625,51052.5
ENSG00000085063,26851.25,7670.875,13538.375,79009.125,33419.875,41961.875,54304.875,79009.125
ENSG00000085265,1931,13070459.5,3832536.125,245918.5,171681.375,4880041.25,3923.75,13070459.5
ENSG00000085563,26059.375,165.125,695.75,62.5,225307,56550.625,53416.875,225307
ENSG00000086062,482480.75,330635.5,189676.25,281433.875,478356.75,332968.375,217963.75,482480.75
ENSG00000086205,7.125,65.5,25.125,5.75,15.125,31.25,3.625,65.5
ENSG00000087085,65.875,46.875,114,14.25,71.125,98.75,65.625,114
ENSG00000088053,1263.125,824.75,916,81.625,2924.75,3053.125,1315,3053.125
ENSG00000089041,39044.875,315952.625,264252.375,403.875,108773.75,166584.375,42065.25,315952.625
ENSG00000089248,386686.875,403860.125,301833,17610.625,152718.5,366878.375,285880.75,403860.125
ENSG00000089692,52.5,146.75,231.375,458.625,974.5,18935.5,29656.125,29656.125
ENSG00000090020,39909.75,115026.625,97978.625,139622.25,91753.625,92868.875,63643,139622.25
ENSG00000090339,16421.625,209483.25,134585.875,299478.125,59821.375,101478.625,14077.25,299478.125
ENSG00000090554,41343.125,19204.5,60509.875,5494.75,68418.875,212792.75,346893.875,346893.875
ENSG00000090659,479.625,13079.75,4951,141.875,937.5,5117.125,468.625,13079.75
ENSG00000091129,5875.625,46.875,30.5,46.75,28.625,20112.375,36426.375,36426.375
ENSG00000091409,6651.25,2817.75,1963.75,8473.125,307141.375,361491.625,674142.5,674142.5
ENSG00000091513,914.125,900.25,780.125,409.25,4788.875,1712,1115,4788.875
ENSG00000091583,5.125,6,9.625,13.25,21.5,74.375,20.25,74.375
ENSG00000092445,257.375,747.625,767.25,502.875,634.875,612,341.625,767.25
ENSG00000096384,945957.75,551291.875,827950.75,11013.875,719364.875,825443.75,866382.375,945957.75
ENSG00000099250,209.75,21081.625,2834.25,207.75,2379,12159.75,195.375,21081.625
ENSG00000099282,43.25,166,1980.125,24.375,6316.75,5432.25,7600.75,7600.75
ENSG00000100097,47163.625,509587,505891.875,2409.875,176836.125,246345,26797.5,509587
ENSG00000100311,94.125,182,834.25,23.125,2008.25,18538.125,31331.875,31331.875
ENSG00000100385,7088.25,2071.25,29055.25,1201.5,7778708.375,987039.25,336309,7778708.375
ENSG00000100448,0,2552.875,117.25,298.75,536.625,3313.125,40.375,3313.125
ENSG00000101000,630.75,2235.625,4184,1279.375,14089.5,4418.625,2733.875,14089.5
ENSG00000101017,270806.5,22740.125,33199,46.375,9294.125,29367.75,3875.5,270806.5
ENSG00000101160,530555.125,1565022.125,1357452.75,333926.625,117340.5,724444.125,31509.625,1565022.125
ENSG00000101188,418.5,17261.875,287,1785.125,1132.75,7357.75,3222.875,17261.875
ENSG00000101204,459.75,39.5,24,26.875,29.375,38.375,42.125,459.75
ENSG00000101294,103895.375,397875.75,379188.875,156691.375,154085,250975.625,112953.625,397875.75
ENSG00000101307,1644.5,943939.625,716883.375,1262891.375,13705.875,377532.125,22632.75,1262891.375
ENSG00000101448,10.25,2.5,7.875,5.25,16.125,25.75,2.625,25.75
ENSG00000101474,64048.375,181425.625,159185.125,443026.625,1085981.125,286660.375,149779,1085981.125
ENSG00000101557,76633.125,72623.875,93289.125,820,108762.5,102166.625,103739.625,108762.5
ENSG00000101670,100.375,99.25,100.375,67,140.625,86.875,121.375,140.625
ENSG00000101916,599.375,582196.25,362313.625,565168.75,6852.375,231854,318,582196.25
ENSG00000101955,9.875,27.75,55.5,7.875,44,417.5,56.75,417.5
ENSG00000102181,40055.5,90789.125,83914.25,5990,79534.375,77792.25,49044.375,90789.125
ENSG00000102245,125.125,345.375,241,117.375,1153.5,79465.375,154208,154208
ENSG00000102359,24.875,0,0,2.75,11,4.75,2.75,24.875
ENSG00000103496,127511.5,170981,148972.625,150646.125,224907.25,182176,123856.875,224907.25
ENSG00000103546,14.875,7.625,21.125,48,12.5,26.5,22.75,48
ENSG00000103855,53.5,337.625,683.75,135.25,69,323.125,76.875,683.75
ENSG00000104290,9204.125,1132.125,3350.25,147.25,9190.75,9542.25,13615.625,13615.625
ENSG00000104332,24.875,22.5,11.375,159.5,18.125,31.625,17.5,159.5
ENSG00000104368,391,80.75,149.875,118.125,444.625,734.375,1542.625,1542.625
ENSG00000104687,65788,193243.875,183262.75,90034.875,182719,146135.875,75232.375,193243.875
ENSG00000104689,73616.625,35798.625,22715.25,1285,22327.625,65702.25,90537.25,90537.25
ENSG00000104755,3,3.375,0,1.5,1.125,3.25,0,3.375
ENSG00000104853,188875.375,199353.625,202886.75,125172.875,203193.625,196464.375,140925.125,203193.625
ENSG00000104921,573510.625,16710,12684.75,1713.125,696.5,41067.75,187.5,573510.625
ENSG00000104972,416704.25,1013261,2002323.125,130402.25,104914.5,525334.5,7832.375,2002323.125
ENSG00000105369,2349405.75,720.75,4119.625,558.5,4089,143718.75,12409.25,2349405.75
ENSG00000105383,196.25,613508.625,368042.25,23324.75,17952.75,252181.5,410.875,613508.625
ENSG00000105668,72,108.375,54,87.375,102.375,116.5,175,175
ENSG00000105707,76.5,85.75,112.875,1499.5,50,261,191,1499.5
ENSG00000105855,597.125,155.5,4034.125,78.25,307.625,8929.5,148.25,8929.5
ENSG00000105894,2.75,0,8.875,0,0,0,0,8.875
ENSG00000105976,3771.375,45,39.875,31.25,287.375,630.875,420.75,3771.375
ENSG00000105989,0,8.125,10.375,2.5,5.125,0,5.625,10.375
ENSG00000106128,2.5,8.75,8,9.625,16.625,6,5,16.625
ENSG00000106302,326.75,104.125,70.125,13.625,155.5,116,65.875,326.75
ENSG00000106327,12017.5,2964.25,4844.125,99.375,29232.75,12865.125,10609.5,29232.75
ENSG00000106483,0,699.375,110.5,81.75,2828.625,760.5,42,2828.625
ENSG00000106799,63363.875,116395.125,73049.75,114028.625,495802.5,164188.25,111076.625,495802.5
ENSG00000106991,48326,204569.375,178381.25,181.875,85695.125,142678.875,83360.875,204569.375
ENSG00000107593,311.25,591.875,607.25,22.625,15,599.5,95.25,607.25
ENSG00000107611,38097.125,5876.75,3891.75,5411.75,27203,71969.375,124400.375,124400.375
ENSG00000107779,13980.5,2380.25,5165.75,301.25,16790.375,11330.875,15832.5,16790.375
ENSG00000107831,74.125,75.125,113.25,1232.75,81.875,101.875,40.25,1232.75
ENSG00000108219,129704.75,574172.5,1088656.875,248732.625,837640,707953.75,672898.75,1088656.875
ENSG00000108405,61507.25,276855.75,750566.875,277407.25,5976.625,149728,253,750566.875
ENSG00000108561,114469.875,77699.75,97035.25,756.625,80542.375,111035.25,111005.75,114469.875
ENSG00000109321,806.125,703.625,4331.125,1993.25,36529.75,4429.375,532.75,36529.75
ENSG00000109572,77753.5,105548.375,102108.25,22353.375,123262.625,110049.25,93843.375,123262.625
ENSG00000109846,81.625,22.5,11.375,6.75,41.125,40.25,50.75,81.625
ENSG00000110195,3.25,81.5,55.25,112.5,0,18.125,0,112.5
ENSG00000110436,54.75,396.875,339.625,179.125,283,377.375,327,396.875
ENSG00000110448,11881.25,3038.875,16297.125,3831.625,4020.875,351905.25,671030.75,671030.75
ENSG00000110848,122764.75,1382.625,6776.125,4343.75,269874.375,116156.125,216318.625,269874.375
ENSG00000110881,70.125,26.25,53,38.625,71,5545.25,9063,9063
ENSG00000110955,533068.125,997080.625,1418395.25,146429.375,639731.25,816209.625,489070.25,1418395.25
ENSG00000111186,766,7292.125,1092.5,57.625,128.25,2866.5,17.5,7292.125
ENSG00000111199,18.75,12686.875,382.625,52.625,217.375,4811.625,70.125,12686.875
ENSG00000111262,134.375,10.625,17.25,31.125,12.625,22.5,28.375,134.375
ENSG00000111432,19.875,29.125,12.625,8.875,25.125,16.375,8.875,29.125
ENSG00000111863,1662,135.625,1607.25,58.625,52.625,42768.5,94557.625,94557.625
ENSG00000112115,0,10.25,5.25,0,0,2.5,5.25,10.25
ENSG00000112149,99430.875,48627.125,105277,19904,9667.75,34886.375,4640.625,105277
ENSG00000112195,173786.25,19628.375,18674,373608.125,6640.375,30680.875,13395.375,373608.125
ENSG00000112486,183084.375,117.625,16016.25,1592.75,3530.75,32176.375,31331.25,183084.375
ENSG00000112715,4361.875,142563.375,21736.25,38589.125,4870.5,51823.5,534.25,142563.375
ENSG00000112964,34.125,73.5,75.5,32,65.875,88.375,22.75,88.375
ENSG00000113070,1471.125,28730.5,25725.75,2733.125,1440.25,10657.875,771.875,28730.5
ENSG00000113140,570,14989.375,2038.25,113.25,6172.5,47477.875,136.375,47477.875
ENSG00000113273,19041.75,128220.875,76711.125,20298.375,26348.875,62028.375,14965.25,128220.875
ENSG00000113494,171,31637.625,3279.125,22.125,542,9487.5,12.5,31637.625
ENSG00000113721,4113.125,1845,17450.25,56.625,182374.375,24131.75,1116.375,182374.375
ENSG00000113905,61.125,54.25,17.25,28,63.25,39.375,32.75,63.25
ENSG00000114013,88815.125,385744.125,434957.375,176.25,9469.5,163732.75,291.625,434957.375
ENSG00000114251,69.375,198.875,625.125,12.875,30.875,181.75,76.25,625.125
ENSG00000114646,277.5,201.125,146.5,285,506.125,251.25,288.625,506.125
ENSG00000115221,42.5,101.625,51,80.375,244.875,84.875,103.875,244.875
ENSG00000115232,570504.375,833077.5,1570762.75,45282.375,749412.625,832699.625,677087.25,1570762.75
ENSG00000115353,674.625,232.625,482.875,3.875,367.5,503,575.75,674.625
ENSG00000115594,90.75,12499.625,13124.75,283793.875,2967.75,8344.5,3921.75,283793.875
ENSG00000115596,1799.875,2329.75,928,23.25,486.25,1236.125,140.125,2329.75
ENSG00000115602,18.375,4.25,682.375,2569.25,6071.5,8153,596.375,8153
ENSG00000115705,22.125,5.5,8,14.125,17.625,1023.625,1632.375,1632.375
ENSG00000115884,1750.25,27.75,21.125,42.625,78.625,874.125,12,1750.25
ENSG00000115902,27624.375,26909.75,152551.625,400.875,48991.125,33757,9090.375,152551.625
ENSG00000116014,2179,52.375,63.375,4627.875,202.75,1425,2203.625,4627.875
ENSG00000116106,38591,123.5,151.75,2649.5,84710,42228.625,57421.625,84710
ENSG00000116147,22844.375,38.75,23.25,109,6328.125,1527,39.375,22844.375
ENSG00000116815,23357.375,100864.125,121916.875,146253.125,77555.625,65695.625,21184.25,146253.125
ENSG00000116824,204.875,3971.375,24545.25,155.625,453086.75,315709.25,479636,479636
ENSG00000117090,79747.5,2579.75,771.875,350.875,1144.625,73900.75,123244.625,123244.625
ENSG00000117154,2.5,24.75,11.5,20.125,15.25,13.5,11.375,24.75
ENSG00000117298,273297.125,450996.625,315521.875,1014072.75,194887.625,348815.875,264206.625,1014072.75
ENSG00000117335,360521.875,792999.875,664261.75,2096480.5,444826.375,649686.125,515974.375,2096480.5
ENSG00000117400,493.125,557.125,490.75,275.125,599.25,731.5,470.5,731.5
ENSG00000117525,9.75,658.25,127.875,271.625,162.875,281.5,32.125,658.25
ENSG00000117533,97744.5,110092.125,92281.875,15629.625,142996.75,130105.875,135106.75,142996.75
